"period","percent_number","ticker","Keyword"
"2018-05-30 07:03:00","77","BTC","|ticker|"
"2018-05-30 07:03:00","0","BTC","|ticker| invest"
"2018-05-30 07:03:00","1","BTC","buy |ticker|"
"2018-05-30 07:03:00","1","BTC","sell |ticker|"
"2018-05-30 07:03:00","20","BTC","|ticker| price"
"2018-05-30 07:03:00","0","BTC","|ticker| crash"
"2018-05-30 07:04:00","88","BTC","|ticker|"
"2018-05-30 07:04:00","0","BTC","|ticker| invest"
"2018-05-30 07:04:00","1","BTC","buy |ticker|"
"2018-05-30 07:04:00","0","BTC","sell |ticker|"
"2018-05-30 07:04:00","16","BTC","|ticker| price"
"2018-05-30 07:04:00","0","BTC","|ticker| crash"
"2018-05-30 07:05:00","82","BTC","|ticker|"
"2018-05-30 07:05:00","1","BTC","|ticker| invest"
"2018-05-30 07:05:00","2","BTC","buy |ticker|"
"2018-05-30 07:05:00","1","BTC","sell |ticker|"
"2018-05-30 07:05:00","23","BTC","|ticker| price"
"2018-05-30 07:05:00","0","BTC","|ticker| crash"
"2018-05-30 07:06:00","77","BTC","|ticker|"
"2018-05-30 07:06:00","1","BTC","|ticker| invest"
"2018-05-30 07:06:00","2","BTC","buy |ticker|"
"2018-05-30 07:06:00","0","BTC","sell |ticker|"
"2018-05-30 07:06:00","21","BTC","|ticker| price"
"2018-05-30 07:06:00","0","BTC","|ticker| crash"
"2018-05-30 07:07:00","73","BTC","|ticker|"
"2018-05-30 07:07:00","0","BTC","|ticker| invest"
"2018-05-30 07:07:00","1","BTC","buy |ticker|"
"2018-05-30 07:07:00","0","BTC","sell |ticker|"
"2018-05-30 07:07:00","13","BTC","|ticker| price"
"2018-05-30 07:07:00","0","BTC","|ticker| crash"
"2018-05-30 07:08:00","86","BTC","|ticker|"
"2018-05-30 07:08:00","1","BTC","|ticker| invest"
"2018-05-30 07:08:00","2","BTC","buy |ticker|"
"2018-05-30 07:08:00","0","BTC","sell |ticker|"
"2018-05-30 07:08:00","16","BTC","|ticker| price"
"2018-05-30 07:08:00","1","BTC","|ticker| crash"
"2018-05-30 07:09:00","78","BTC","|ticker|"
"2018-05-30 07:09:00","2","BTC","|ticker| invest"
"2018-05-30 07:09:00","2","BTC","buy |ticker|"
"2018-05-30 07:09:00","1","BTC","sell |ticker|"
"2018-05-30 07:09:00","14","BTC","|ticker| price"
"2018-05-30 07:09:00","0","BTC","|ticker| crash"
"2018-05-30 07:10:00","100","BTC","|ticker|"
"2018-05-30 07:10:00","0","BTC","|ticker| invest"
"2018-05-30 07:10:00","3","BTC","buy |ticker|"
"2018-05-30 07:10:00","1","BTC","sell |ticker|"
"2018-05-30 07:10:00","21","BTC","|ticker| price"
"2018-05-30 07:10:00","0","BTC","|ticker| crash"
"2018-05-30 07:11:00","87","BTC","|ticker|"
"2018-05-30 07:11:00","0","BTC","|ticker| invest"
"2018-05-30 07:11:00","0","BTC","buy |ticker|"
"2018-05-30 07:11:00","0","BTC","sell |ticker|"
"2018-05-30 07:11:00","17","BTC","|ticker| price"
"2018-05-30 07:11:00","1","BTC","|ticker| crash"
"2018-05-30 07:12:00","89","BTC","|ticker|"
"2018-05-30 07:12:00","0","BTC","|ticker| invest"
"2018-05-30 07:12:00","1","BTC","buy |ticker|"
"2018-05-30 07:12:00","0","BTC","sell |ticker|"
"2018-05-30 07:12:00","25","BTC","|ticker| price"
"2018-05-30 07:12:00","0","BTC","|ticker| crash"
"2018-05-30 07:13:00","74","BTC","|ticker|"
"2018-05-30 07:13:00","0","BTC","|ticker| invest"
"2018-05-30 07:13:00","1","BTC","buy |ticker|"
"2018-05-30 07:13:00","0","BTC","sell |ticker|"
"2018-05-30 07:13:00","12","BTC","|ticker| price"
"2018-05-30 07:13:00","0","BTC","|ticker| crash"
"2018-05-30 07:14:00","88","BTC","|ticker|"
"2018-05-30 07:14:00","0","BTC","|ticker| invest"
"2018-05-30 07:14:00","1","BTC","buy |ticker|"
"2018-05-30 07:14:00","0","BTC","sell |ticker|"
"2018-05-30 07:14:00","21","BTC","|ticker| price"
"2018-05-30 07:14:00","0","BTC","|ticker| crash"
"2018-05-30 07:15:00","99","BTC","|ticker|"
"2018-05-30 07:15:00","0","BTC","|ticker| invest"
"2018-05-30 07:15:00","2","BTC","buy |ticker|"
"2018-05-30 07:15:00","0","BTC","sell |ticker|"
"2018-05-30 07:15:00","21","BTC","|ticker| price"
"2018-05-30 07:15:00","0","BTC","|ticker| crash"
"2018-05-30 07:16:00","93","BTC","|ticker|"
"2018-05-30 07:16:00","1","BTC","|ticker| invest"
"2018-05-30 07:16:00","1","BTC","buy |ticker|"
"2018-05-30 07:16:00","0","BTC","sell |ticker|"
"2018-05-30 07:16:00","24","BTC","|ticker| price"
"2018-05-30 07:16:00","0","BTC","|ticker| crash"
"2018-05-30 07:17:00","77","BTC","|ticker|"
"2018-05-30 07:17:00","0","BTC","|ticker| invest"
"2018-05-30 07:17:00","2","BTC","buy |ticker|"
"2018-05-30 07:17:00","0","BTC","sell |ticker|"
"2018-05-30 07:17:00","17","BTC","|ticker| price"
"2018-05-30 07:17:00","0","BTC","|ticker| crash"
"2018-05-30 07:18:00","80","BTC","|ticker|"
